wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,price,horsepower,peak-rpm,city-mpg,highway-mpg
88.4,141.1,60.3,53.2,1488,61,2.91,3.03,5151,48,5100,47,53
86.6,144.6,63.9,50.8,1713,92,2.91,3.41,6479,58,4800,49,54
86.6,144.6,63.9,50.8,1819,92,2.91,3.41,6855,76,6000,31,38
93.7,150,64,52.6,1837,79,2.91,3.07,5399,60,5500,38,42
93.7,150,64,52.6,1940,92,2.91,3.41,6529,76,6000,30,34
93.7,150,64,52.6,1956,92,2.91,3.41,7129,76,6000,30,34
94.5,155.9,63.6,52,1874,90,3.03,3.11,6295,70,5400,38,43
93.7,156.9,63.4,53.7,2050,97,3.62,2.36,5118,69,4900,31,36
96.5,157.1,63.9,58.3,2024,92,2.92,3.41,7295,76,6000,30,34
93,157.3,63.8,50.8,2145,98,3.03,3.39,7689,102,5500,24,30
93.3,157.3,63.8,55.7,2240,108,3.62,2.64,7603,73,4400,26,31
93.7,157.3,64.4,50.8,1918,92,2.97,3.23,5389,68,5500,37,41
93.7,157.3,63.8,50.8,1876,90,2.97,3.23,5572,68,5500,37,41
93.7,157.3,63.8,50.8,1918,90,2.97,3.23,5572,68,5500,37,41
93.7,157.3,64.4,50.8,1944,92,2.97,3.23,6189,68,5500,31,38
93.7,157.3,63.8,50.6,1967,90,2.97,3.23,6229,68,5500,31,38
93.7,157.3,63.8,50.6,1967,90,2.97,3.23,6229,68,5500,31,38
93.7,157.3,63.8,50.8,1876,90,2.97,3.23,6377,68,5500,31,38
93.7,157.3,64.4,50.8,2004,92,2.97,3.23,6669,68,5500,31,38
93.7,157.3,63.8,50.6,1989,90,2.97,3.23,6692,68,5500,31,38
93.7,157.3,63.8,50.6,1989,90,2.97,3.23,7609,68,5500,31,38
93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7957,102,5500,24,30
93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7957,102,5500,24,30
93.7,157.9,63.6,53.7,2120,108,3.62,2.64,7053,73,4400,26,31
95.7,158.7,63.6,54.5,1985,92,3.05,3.03,5348,62,4800,35,39
95.7,158.7,63.6,54.5,2040,92,3.05,3.03,6338,62,4800,31,38
95.7,158.7,63.6,54.5,2015,92,3.05,3.03,6488,62,4800,31,38
94.5,158.8,63.6,52,1909,90,3.03,3.11,6575,70,5400,38,43
93.1,159.1,64.2,54.1,1890,91,3.03,3.15,5195,68,5000,30,31
93.1,159.1,64.2,54.1,1900,91,3.03,3.15,6095,68,5000,31,38
93.1,159.1,64.2,54.1,1905,91,3.03,3.15,6795,68,5000,31,38
95.1,162.4,63.8,53.3,2008,97,3.15,3.29,8249,69,5200,31,37
96.5,163.4,64,54.5,2010,92,2.91,3.41,7295,76,6000,30,34
94.5,165.3,63.8,54.5,1889,97,3.15,3.29,5499,69,5200,31,37
94.5,165.3,63.8,54.5,1918,97,3.15,3.29,6649,69,5200,31,37
94.5,165.3,63.8,54.5,1938,97,3.15,3.29,6849,69,5200,31,37
94.5,165.3,63.8,54.5,2017,103,2.99,3.47,7099,55,4800,45,50
94.5,165.3,63.8,54.5,1951,97,3.15,3.29,7299,69,5200,31,37
94.5,165.3,63.8,54.5,1971,97,3.15,3.29,7499,69,5200,31,37
94.5,165.6,63.8,53.3,2028,97,3.15,3.29,7799,69,5200,31,37
94.5,165.7,64,51.4,2221,109,3.19,3.4,9980,90,5500,24,29
95.7,166.3,64.4,53,2081,98,3.19,3.03,6938,70,4800,30,37
95.7,166.3,64.4,52.8,2109,98,3.19,3.03,7198,70,4800,30,37
95.7,166.3,64.4,53,2094,98,3.19,3.03,7738,70,4800,38,47
95.7,166.3,64.4,52.8,2275,110,3.27,3.35,7788,56,4500,38,47
95.7,166.3,64.4,53,2275,110,3.27,3.35,7898,56,4500,34,36
95.7,166.3,64.4,52.8,2122,98,3.19,3.03,8358,70,4800,28,34
95.7,166.3,64.4,52.8,2140,98,3.19,3.03,9258,70,4800,28,34
93.1,166.8,64.2,54.1,1945,91,3.03,3.15,6695,68,5000,31,38
93.1,166.8,64.2,54.1,1950,91,3.08,3.15,7395,68,5000,31,38
93.7,167.3,63.8,50.8,1989,90,2.97,3.23,6692,68,5500,31,38
93.7,167.3,63.8,50.8,2191,98,2.97,3.23,7609,68,5500,31,38
96.5,167.5,65.2,53.3,2236,110,3.15,3.58,7895,86,5800,27,33
96.5,167.5,65.2,53.3,2289,110,3.15,3.58,9095,86,5800,27,33
94.5,168.7,64,52.6,2169,98,3.19,3.03,8058,70,4800,29,34
94.5,168.7,64,52.6,2204,98,3.19,3.03,8238,70,4800,29,34
94.5,168.7,64,52.6,2265,98,3.24,3.08,9298,112,6600,26,29
94.5,168.7,64,52.6,2300,98,3.24,3.08,9538,112,6600,26,29
94.5,168.9,68.3,50.2,2778,151,3.94,3.11,22018,143,5500,19,27
96.5,169.1,66,51,2293,110,3.15,3.58,10345,100,5500,25,31
95.7,169.7,63.6,59.1,2280,92,3.05,3.03,6918,62,4800,31,37
95.7,169.7,63.6,59.1,2290,92,3.05,3.03,7898,62,4800,27,32
95.7,169.7,63.6,59.1,3110,92,3.05,3.03,8778,62,4800,27,32
94.5,170.2,63.8,53.5,2024,97,3.15,3.29,7349,69,5200,31,37
94.5,170.2,63.8,53.5,2037,97,3.15,3.29,7999,69,5200,31,37
91.3,170.7,67.9,49.7,3071,181,3.43,3.27,17199,160,5200,19,25
91.3,170.7,67.9,49.7,3139,181,3.43,3.27,19699,200,5200,17,23
97.3,171.7,65.5,55.7,2261,97,3.01,3.4,7775,52,4800,37,46
97.3,171.7,65.5,55.7,2209,109,3.19,3.4,7975,85,5250,27,34
97.3,171.7,65.5,55.7,2264,97,3.01,3.4,7995,52,4800,37,46
97.3,171.7,65.5,55.7,2212,109,3.19,3.4,8195,85,5250,27,34
97.3,171.7,65.5,55.7,2275,109,3.19,3.4,8495,85,5250,27,34
97.3,171.7,65.5,55.7,2319,97,3.01,3.4,9495,68,4500,37,42
97.3,171.7,65.5,55.7,2300,109,3.19,3.4,9995,100,5500,26,32
97,172,65.4,54.3,2385,108,3.62,2.64,9233,82,4800,24,25
97,172,65.4,54.3,2510,108,3.62,2.64,11259,111,4800,24,29
97.2,172,65.4,52.5,2145,108,3.62,2.64,7126,82,4800,32,37
97.2,172,65.4,52.5,2190,108,3.62,2.64,7775,82,4400,28,33
97.2,172,65.4,52.5,2340,108,3.62,2.64,9960,94,5200,26,32
96.3,172.4,65.4,51.6,2365,122,3.35,3.46,6989,88,5000,25,32
96.3,172.4,65.4,51.6,2405,122,3.35,3.46,8189,88,5000,25,32
96.3,172.4,65.4,51.6,2403,110,3.17,3.46,9279,116,5500,23,30
96.3,172.4,65.4,51.6,2403,110,3.17,3.46,9279,116,5500,23,30
96.3,173,65.4,49.4,2328,122,3.35,3.46,8499,88,5000,25,32
96.3,173,65.4,49.4,2370,110,3.17,3.46,9959,116,5500,23,30
95.9,173.2,66.3,50.2,2811,156,3.6,3.9,12964,145,5000,19,24
97.2,173.4,65.2,54.7,2324,120,3.33,3.47,8949,97,5200,27,34
97.2,173.4,65.2,54.7,2302,120,3.33,3.47,9549,97,5200,27,34
97,173.5,65.4,53,2290,108,3.62,2.64,7463,82,4800,28,32
97,173.5,65.4,53,2455,108,3.62,2.64,10198,94,5200,25,31
96.9,173.6,65.4,54.9,2420,108,3.62,2.64,8013,82,4800,23,29
96.9,173.6,65.4,54.9,2650,108,3.62,2.64,11694,111,4800,23,23
103.3,174.6,64.6,59.8,2535,122,3.34,3.46,8921,88,5000,24,30
103.3,174.6,64.6,59.8,2535,122,3.35,3.46,8921,88,5000,24,30
104.9,175,66.1,54.4,2670,140,3.76,3.16,18280,120,5000,19,27
96.5,175.4,65.2,54.1,2304,110,3.15,3.58,8845,86,5800,27,33
96.5,175.4,62.5,54.1,2372,110,3.15,3.58,10295,86,5800,27,33
96.5,175.4,65.2,54.1,2465,110,3.15,3.58,12945,101,5800,24,28
102.4,175.6,66.5,54.9,2326,122,3.31,3.54,8948,92,4200,29,34
102.4,175.6,66.5,53.9,2414,122,3.31,3.54,9988,92,4200,27,32
102.4,175.6,66.5,54.9,2480,110,3.27,3.35,10698,73,4500,30,33
102.4,175.6,66.5,54.9,2414,122,3.31,3.54,10898,92,4200,27,32
102.4,175.6,66.5,53.9,2458,122,3.31,3.54,11248,92,4200,27,32
98.4,176.2,65.6,52,2540,146,3.62,3.5,8449,116,4800,24,30
98.4,176.2,65.6,52,2536,146,3.62,3.5,9639,116,4800,24,30
98.4,176.2,65.6,52,2551,146,3.62,3.5,9989,116,4800,24,30
98.4,176.2,65.6,52,2679,146,3.62,3.5,11199,116,4800,24,30
98.4,176.2,65.6,52,2714,146,3.62,3.5,11549,116,4800,24,30
98.4,176.2,65.6,53,2975,146,3.62,3.5,17669,116,4800,24,30
99.4,176.6,66.4,54.3,2824,136,3.19,3.4,17450,115,5500,18,22
99.8,176.6,66.2,54.3,2337,109,3.19,3.4,13950,102,5500,24,30
101.2,176.8,64.8,54.3,2395,108,3.5,2.8,16430,101,5800,23,29
101.2,176.8,64.8,54.3,2395,108,3.5,2.8,16925,101,5800,23,29
101.2,176.8,64.8,54.3,2710,164,3.31,3.19,20970,121,4250,21,28
101.2,176.8,64.8,54.3,2765,164,3.31,3.19,21105,121,4250,21,28
98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8495,84,4800,26,32
98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8845,84,4800,26,32
98.8,177.8,66.5,55.5,2410,122,3.39,3.39,10245,84,4800,26,32
98.8,177.8,66.5,53.7,2385,122,3.39,3.39,10595,84,4800,26,32
98.8,177.8,66.5,55.5,2425,122,3.39,3.39,11245,84,4800,26,32
99.2,178.5,67.9,49.7,3139,181,3.43,3.27,18399,160,5200,19,25
96.6,180.3,70.5,50.8,3685,234,3.46,3.1,35056,155,4750,16,18
100.4,181.7,66.5,55.1,3095,181,3.43,3.27,13499,152,5200,17,22
102.9,183.5,67.7,52,3016,171,3.27,3.35,15998,161,5200,19,24
102.9,183.5,67.7,52,2976,171,3.27,3.35,16558,161,5200,20,24
100.4,184.6,66.5,55.1,3060,181,3.43,3.27,13499,152,5200,19,25
100.4,184.6,66.5,56.1,3296,181,3.43,3.27,14399,152,5200,17,22
